"School Number",Latitude,Longitude,Easting,Northing
"6692020",51.737041,-4.229944,246119,206612
"6692023",51.752088,-4.210778,247493,208245
"6692024",51.761064,-4.205478,247889,209232
"6692034",51.835541,-4.434184,232384,218016
"6692037",51.859958,-4.478871,229398,220835
"6692042",51.789132,-4.034336,259786,212010
"6692043",51.787137,-3.98475,263200,211694
"6692044",51.776765,-4.022009,260598,210611
"6692050",51.787714,-3.995398,262467,211778
"6692052",51.805882,-4.022557,260650,213850
"6692057",51.754376,-4.050943,258532,208177
"6692061",51.875312,-3.991939,262972,221513
"6692065",51.973201,-3.981226,264006,232379
"6692067",51.888062,-4.101014,255505,223142
"6692080",51.938662,-3.877588,271025,228349
"6692084",51.998409,-3.796019,276796,234852
"6692098",51.819357,-4.612059,220066,216641
"6692104",52.006117,-4.363511,237869,236824
"6692109",51.937069,-4.300578,241945,229007
"6692112",51.748692,-4.277409,242882,208009
"6692114",51.850889,-4.329126,239676,219486
"6692116",51.861234,-4.311622,240918,220598
"6692119",51.753641,-4.524597,225840,209121
"6692120",51.685892,-4.109664,254259,200677
"6692121",51.675228,-4.104076,254611,199480
"6692123",51.69041,-4.137798,252329,201236
"6692128",51.727836,-4.190117,248838,205505
"6692131",51.714363,-4.05026,258454,203726
"6692135",51.688922,-4.178139,249536,201153
"6692159",51.686539,-4.162081,250638,200855
"6692166",51.771077,-4.389227,235246,210745
"6692167",51.758107,-4.11442,254163,208717
"6692168",51.682207,-4.119408,253574,200287
"6692169",51.814218,-3.862529,271706,214483
"6692170",51.88279,-4.413196,234004,223222
"6692171",51.861686,-4.311964,240896,220649
"6692173",51.8513,-4.300919,241620,219470
"6692175",51.718372,-4.242258,245205,204562
"6692176",51.705861,-4.137688,252387,202954
"6692177",51.685314,-4.256335,244119,200916
"6692178",51.685825,-4.273215,242954,201009
"6692179",51.793288,-3.985914,263138,212380
"6692180",51.895766,-4.711031,213562,225387
"6692181",51.823335,-4.010487,261536,215768
"6692182",51.945811,-4.500208,228257,230432
"6692183",51.887251,-3.989419,263182,222836
"6692184",52.073119,-4.14965,252767,243820
"6692185",51.887251,-3.989419,263182,222836
"6692187",51.923348,-4.36803,237259,227630
"6692188",51.685255,-4.136962,252370,200661
"6692189",51.68831,-4.204594,247706,201140
"6692190",51.688451,-4.147067,251682,201037
"6692192",51.737151,-4.302529,241108,206780
"6692193",51.800873,-4.049557,258773,213345
"6692194",51.869519,-4.189777,249335,221260
"6692370",51.735712,-4.311262,240500,206639
"6692371",51.688451,-4.147067,251682,201037
"6692373",51.780014,-4.174942,250059,211276
"6692374",51.677463,-4.155385,251071,199832
"6692375",51.681929,-4.147713,251616,200313
"6692379",52.037939,-4.471795,230558,240610
"6692380",51.860017,-4.299853,241724,220437
"6692384",51.823393,-4.489164,228550,216793
"6692385",51.803799,-4.241477,245551,214060
"6692386",52.098714,-4.061727,258873,246491
"6692387",52.004415,-4.264328,244670,236418
"6692388",51.80511,-3.905132,268743,213546
"6692389",51.879506,-4.593633,221574,223284
"6692390",51.680001,-4.116695,253754,200036
"6692391",51.696509,-4.142615,252016,201924
"6692392",51.793288,-3.985914,263138,212380
"6692393",51.6712,-4.147249,251613,199119
"6692394",51.687431,-4.253359,244332,201145
"6692395",51.676817,-4.166521,250299,199783
"6692396",51.70085,-4.078065,256491,202278
"6693000",51.866597,-4.269917,243808,221104
"6693002",51.751064,-4.572541,222521,208950
"6693003",51.767608,-4.467834,229810,210540
"6693004",51.825347,-4.167026,250755,216301
"6693013",51.768713,-4.368259,236684,210435
"6693026",52.030987,-4.207063,248690,239252
"6693300",51.687769,-4.134679,252536,200936
"6693301",51.856482,-4.319141,240384,220086
"6693307",52.018211,-4.399566,235439,238250
"6693321",51.684378,-4.168575,250182,200628
"6693322",51.859697,-4.327571,239814,220462
"6694029",51.79597,-3.985785,263155,212678
"6694050",51.67905,-4.145798,251739,199989
"6694052",51.686726,-4.182128,249253,200917
"6694053",51.685314,-4.256335,244119,200916
"6694054",51.694362,-4.137565,252358,201675
"6694056",51.835798,-4.310971,240873,217768
"6694060",52.034511,-4.470629,230625,240226
"6694063",51.8463,-4.320628,240245,218957
"6694064",51.802976,-4.09044,255961,213659
"6694065",51.87396,-4.004794,262083,221387
"6694512",51.822032,-4.616335,219782,216949
"6694600",51.687769,-4.134679,252536,200936
