National School Categorisation System / System Genedlaethol ar gyfer Categoreiddio Ysgolion,,,,,,,
,,,,,,,
Primary schools / Ysgolion cynradd,,,,,,,
,,,,,,,
"Note: This list reflects the support category of schools open in January 2020.

All middle schools have also been included in this list as well as in the list of secondary schools. Middle schools are allocated one support category for the whole school therefore it will be identical in the primary school list and secondary school list. 
                                                                                                                                                                                                                                                                                                                                                        
Noder: Mae'r rhestr hon yn cynnwys ysgolion oedd ar agor ym mis Ionawr 2020.

Mae pob ysgol ganol wedi ei chynnwys ar y rhestr hon yn ogystal ag ar y rhestr o ysgolion uwchradd. Cai ysgolion canol un categori cefnogaeth ar gyfer yr ysgol gyfan felly bydd yn ymddangos yr un peth ar y rhestr ysgolion cynradd â'r rhestr ysgolion uwchradd.",,,,,,,
,,,,,,,
"School code/
Cod ysgol","School name/
Enw ysgol","Local authority/
Awdurdod lleol","Consortium/
Consortiwm","Step Three: Support Category/
Cam Tri: Categori Cymorth",,,
6712110,Blaenhonddan Primary School,Neath Port Talbot / Castell-nedd Port Talbot,ERW / ERW,Green/Gwyrdd,,,
6712119,Baglan Primary School,Neath Port Talbot / Castell-nedd Port Talbot,ERW / ERW,Green/Gwyrdd,,,
6712128,YGG Cwmllynfell,Neath Port Talbot / Castell-nedd Port Talbot,ERW / ERW,Yellow/Melyn,,,
6712129,Creunant Primary School,Neath Port Talbot / Castell-nedd Port Talbot,ERW / ERW,Yellow/Melyn,,,
6712134,Crymlyn Primary School,Neath Port Talbot / Castell-nedd Port Talbot,ERW / ERW,Green/Gwyrdd,,,
6712137,Cwmnedd Primary School,Neath Port Talbot / Castell-nedd Port Talbot,ERW / ERW,Green/Gwyrdd,,,
6712138,Cymer Afan Primary School,Neath Port Talbot / Castell-nedd Port Talbot,ERW / ERW,Yellow/Melyn,,,
6712140,Godre'rgraig Primary School,Neath Port Talbot / Castell-nedd Port Talbot,ERW / ERW,Yellow/Melyn,,,
6712142,Eastern Primary School,Neath Port Talbot / Castell-nedd Port Talbot,ERW / ERW,Yellow/Melyn,,,
6712144,Gnoll Primary School,Neath Port Talbot / Castell-nedd Port Talbot,ERW / ERW,Green/Gwyrdd,,,
6712148,Glyncorrwg Primary School,Neath Port Talbot / Castell-nedd Port Talbot,ERW / ERW,Yellow/Melyn,,,
6712149,YGG Gwaun Cae Gurwen,Neath Port Talbot / Castell-nedd Port Talbot,ERW / ERW,Green/Gwyrdd,,,
6712150,Catwg Primary School,Neath Port Talbot / Castell-nedd Port Talbot,ERW / ERW,Green/Gwyrdd,,,
6712155,Maesmarchog Community Primary School,Neath Port Talbot / Castell-nedd Port Talbot,ERW / ERW,Yellow/Melyn,,,
6712158,YGG Rhosafan,Neath Port Talbot / Castell-nedd Port Talbot,ERW / ERW,Green/Gwyrdd,,,
6712161,Sandfields Primary School,Neath Port Talbot / Castell-nedd Port Talbot,ERW / ERW,Amber/Oren,,,
6712168,YGG Castell-nedd,Neath Port Talbot / Castell-nedd Port Talbot,ERW / ERW,Green/Gwyrdd,,,
6712173,Croeserw Primary School,Neath Port Talbot / Castell-nedd Port Talbot,ERW / ERW,Yellow/Melyn,,,
6712175,Tywyn Primary School,Neath Port Talbot / Castell-nedd Port Talbot,ERW / ERW,Green/Gwyrdd,,,
6712178,Llangiwg Primary School,Neath Port Talbot / Castell-nedd Port Talbot,ERW / ERW,Yellow/Melyn,,,
6712181,Tonnau Primary Community School,Neath Port Talbot / Castell-nedd Port Talbot,ERW / ERW,Yellow/Melyn,,,
6712187,Ynysfach Primary School,Neath Port Talbot / Castell-nedd Port Talbot,ERW / ERW,Yellow/Melyn,,,
6712191,Blaenbaglan Primary School,Neath Port Talbot / Castell-nedd Port Talbot,ERW / ERW,Green/Gwyrdd,,,
6712200,Rhos Primary School,Neath Port Talbot / Castell-nedd Port Talbot,ERW / ERW,Green/Gwyrdd,,,
6712202,YGG Blaendulais,Neath Port Talbot / Castell-nedd Port Talbot,ERW / ERW,Green/Gwyrdd,,,
6712203,Rhydyfro Primary School,Neath Port Talbot / Castell-nedd Port Talbot,ERW / ERW,Green/Gwyrdd,,,
6712205,YGG Cwm Nedd,Neath Port Talbot / Castell-nedd Port Talbot,ERW / ERW,Yellow/Melyn,,,
6712206,Tairgwaith Primary School,Neath Port Talbot / Castell-nedd Port Talbot,ERW / ERW,Yellow/Melyn,,,
6712208,YGG Trebannws,Neath Port Talbot / Castell-nedd Port Talbot,ERW / ERW,Yellow/Melyn,,,
6712218,YGG Pontardawe,Neath Port Talbot / Castell-nedd Port Talbot,ERW / ERW,Green/Gwyrdd,,,
6712221,Waunceirch Primary School,Neath Port Talbot / Castell-nedd Port Talbot,ERW / ERW,Green/Gwyrdd,,,
6712230,Cilffriw Primary School,Neath Port Talbot / Castell-nedd Port Talbot,ERW / ERW,Yellow/Melyn,,,
6712231,YGG Tyle'r Ynn,Neath Port Talbot / Castell-nedd Port Talbot,ERW / ERW,Yellow/Melyn,,,
6712232,Coed Hirwaun Primary School,Neath Port Talbot / Castell-nedd Port Talbot,ERW / ERW,Green/Gwyrdd,,,
6712233,Coedffranc Primary School,Neath Port Talbot / Castell-nedd Port Talbot,ERW / ERW,Yellow/Melyn,,,
6712234,Pen Afan Primary School,Neath Port Talbot / Castell-nedd Port Talbot,ERW / ERW,Yellow/Melyn,,,
6712235,Awel Y Mor Primary School,Neath Port Talbot / Castell-nedd Port Talbot,ERW / ERW,Green/Gwyrdd,,,
6712236,Crynallt Primary School,Neath Port Talbot / Castell-nedd Port Talbot,ERW / ERW,Green/Gwyrdd,,,
6712237,Cwmafan Primary School,Neath Port Talbot / Castell-nedd Port Talbot,ERW / ERW,Green/Gwyrdd,,,
6712238,Central Primary School,Neath Port Talbot / Castell-nedd Port Talbot,ERW / ERW,Yellow/Melyn,,,
6712239,Abbey Primary School,Neath Port Talbot / Castell-nedd Port Talbot,ERW / ERW,Green/Gwyrdd,,,
6712240,Melin Primary School,Neath Port Talbot / Castell-nedd Port Talbot,ERW / ERW,Green/Gwyrdd,,,
6712241,Ysgol Carreg Hir,Neath Port Talbot / Castell-nedd Port Talbot,ERW / ERW,Yellow/Melyn,,,
6713309,St Joseph's Catholic Primary School (Neath),Neath Port Talbot / Castell-nedd Port Talbot,ERW / ERW,Yellow/Melyn,,,
6713310,St Josephs Catholic Infant School,Neath Port Talbot / Castell-nedd Port Talbot,ERW / ERW,Yellow/Melyn,,,
6713311,Bryncoch CIW Primary School,Neath Port Talbot / Castell-nedd Port Talbot,ERW / ERW,Yellow/Melyn,,,
6713313,Alderman Davies CIW Primary School,Neath Port Talbot / Castell-nedd Port Talbot,ERW / ERW,Yellow/Melyn,,,
6713314,St Therese's Catholic Primary School,Neath Port Talbot / Castell-nedd Port Talbot,ERW / ERW,Yellow/Melyn,,,
6713316,St Josephs Catholic Junior School,Neath Port Talbot / Castell-nedd Port Talbot,ERW / ERW,Yellow/Melyn,,,
6715500,Ysgol Bae Baglan,Neath Port Talbot / Castell-nedd Port Talbot,ERW / ERW,Yellow/Melyn,,,
6715501,Ysgol Gymraeg Ystalyfera Bro Dur,Neath Port Talbot / Castell-nedd Port Talbot,ERW / ERW,Green/Gwyrdd,,,
6715502,Ysgol Cwm Brombil,Neath Port Talbot / Castell-nedd Port Talbot,ERW / ERW,Yellow/Melyn,,,
6722046,Abercerdin Primary School,Bridgend / Pen-y-bont ar Ogwr,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6722051,Betws Primary School,Bridgend / Pen-y-bont ar Ogwr,Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6722055,Blaengarw Primary,Bridgend / Pen-y-bont ar Ogwr,Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6722086,Brynmenyn Primary,Bridgend / Pen-y-bont ar Ogwr,Central South Consortium/Consortiwm Canolbarth y De,Amber/Oren,,,
6722090,Bryntirion Infants,Bridgend / Pen-y-bont ar Ogwr,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6722103,CEFN CRIBWR PRIMARY SCHOOL,Bridgend / Pen-y-bont ar Ogwr,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6722109,Coety Primary,Bridgend / Pen-y-bont ar Ogwr,Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6722117,Cwmfelin Primary School,Bridgend / Pen-y-bont ar Ogwr,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6722122,FFALDAU,Bridgend / Pen-y-bont ar Ogwr,Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6722129,Garth Primary School,Bridgend / Pen-y-bont ar Ogwr,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6722146,Coychurch Llangrallo Primary,Bridgend / Pen-y-bont ar Ogwr,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6722149,LLANGYNWYD PRIMARY SCHOOL,Bridgend / Pen-y-bont ar Ogwr,Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6722172,NANTYFFYLLON PRIMARY SCHOOL,Bridgend / Pen-y-bont ar Ogwr,Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6722178,Nantymoel Primary School,Bridgend / Pen-y-bont ar Ogwr,Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6722185,Newton Primary,Bridgend / Pen-y-bont ar Ogwr,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6722194,NOTTAGE COUNTY PRIMARY,Bridgend / Pen-y-bont ar Ogwr,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6722220,Pen-y-Bont Primary,Bridgend / Pen-y-bont ar Ogwr,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6722227,Pil Primary,Bridgend / Pen-y-bont ar Ogwr,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6722232,Plasnewydd Primary School,Bridgend / Pen-y-bont ar Ogwr,Central South Consortium/Consortiwm Canolbarth y De,Red/Coch,,,
6722256,Trelales Primary School,Bridgend / Pen-y-bont ar Ogwr,Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6722259,YGG Cynwyd Sant,Bridgend / Pen-y-bont ar Ogwr,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6722275,Tynyrheol Primary School,Bridgend / Pen-y-bont ar Ogwr,Central South Consortium/Consortiwm Canolbarth y De,Amber/Oren,,,
6722279,CROESTY PRIMARY SCHOOL,Bridgend / Pen-y-bont ar Ogwr,Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6722288,CORNELI PRIMARY,Bridgend / Pen-y-bont ar Ogwr,Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6722292,LLANGEWYDD JUNIOR SCHOOL,Bridgend / Pen-y-bont ar Ogwr,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6722296,Porthcawl Primary School,Bridgend / Pen-y-bont ar Ogwr,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6722298,YSGOL GYMRAEG BRO OGWR,Bridgend / Pen-y-bont ar Ogwr,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6722300,CEFN GLAS INFANTS,Bridgend / Pen-y-bont ar Ogwr,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6722301,WEST PARK PRIMARY,Bridgend / Pen-y-bont ar Ogwr,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6722304,Afon y Felin Primary School,Bridgend / Pen-y-bont ar Ogwr,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6722342,Tondu Primary School,Bridgend / Pen-y-bont ar Ogwr,Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6722358,YSGOL Y FERCH O'R SGER,Bridgend / Pen-y-bont ar Ogwr,Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6722363,Y G G Cwm Garw,Bridgend / Pen-y-bont ar Ogwr,Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6722367,Maes Yr Haul Broadlands,Bridgend / Pen-y-bont ar Ogwr,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6722368,BRYNCETHIN PRIMARY,Bridgend / Pen-y-bont ar Ogwr,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6722369,Ogmore Vale Primary School,Bridgend / Pen-y-bont ar Ogwr,Central South Consortium/Consortiwm Canolbarth y De,Amber/Oren,,,
6722370,Pencoed Primary School,Bridgend / Pen-y-bont ar Ogwr,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6722371,Oldcastle Primary School,Bridgend / Pen-y-bont ar Ogwr,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6722372,Brackla Primary School,Bridgend / Pen-y-bont ar Ogwr,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6722373,Caerau Primary School,Bridgend / Pen-y-bont ar Ogwr,Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6722374,Litchard Primary,Bridgend / Pen-y-bont ar Ogwr,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6722375,Tremains Primary School,Bridgend / Pen-y-bont ar Ogwr,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6722376,Mynydd Cynffig Primary,Bridgend / Pen-y-bont ar Ogwr,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6723013,Penyfai Church in Wales,Bridgend / Pen-y-bont ar Ogwr,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6723311,ST. MARY`S & ST. PATRICK`S,Bridgend / Pen-y-bont ar Ogwr,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6723315,St. Robert's RC Primary,Bridgend / Pen-y-bont ar Ogwr,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6723322,St Mary's R C Primary School,Bridgend / Pen-y-bont ar Ogwr,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6723323,Archdeacon John Lewis C in W,Bridgend / Pen-y-bont ar Ogwr,Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6732109,ALBERT PRIMARY SCHOOL,The Vale of Glamorgan / Bro Morgannwg,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6732111,BARRY ISLAND PRIMARY SCHOOL,The Vale of Glamorgan / Bro Morgannwg,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6732114,COGAN PRIMARY SCHOOL,The Vale of Glamorgan / Bro Morgannwg,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6732115,COLCOT PRIMARY SCHOOL,The Vale of Glamorgan / Bro Morgannwg,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6732117,FAIRFIELD PRIMARY SCHOOL,The Vale of Glamorgan / Bro Morgannwg,Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6732118,GLADSTONE PRIMARY SCHOOL,The Vale of Glamorgan / Bro Morgannwg,Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6732120,High Street Primary School,The Vale of Glamorgan / Bro Morgannwg,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6732122,HOLTON PRIMARY SCHOOL,The Vale of Glamorgan / Bro Morgannwg,Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6732124,JENNER PARK PRIMARY SCHOOL,The Vale of Glamorgan / Bro Morgannwg,Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6732126,LLANCARFAN PRIMARY SCHOOL,The Vale of Glamorgan / Bro Morgannwg,Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6732127,LLANFAIR PRIMARY SCHOOL,The Vale of Glamorgan / Bro Morgannwg,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6732128,LLANGAN PRIMARY SCHOOL,The Vale of Glamorgan / Bro Morgannwg,Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6732131,PALMERSTON PRIMARY SCHOOL,The Vale of Glamorgan / Bro Morgannwg,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6732133,RHWS COUNTY PRIMARY SCHOOL,The Vale of Glamorgan / Bro Morgannwg,Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6732136,SULLY PRIMARY SCHOOL,The Vale of Glamorgan / Bro Morgannwg,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6732138,VICTORIA PRIMARY SCHOOL,The Vale of Glamorgan / Bro Morgannwg,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6732144,ST ATHAN PRIMARY SCHOOL,The Vale of Glamorgan / Bro Morgannwg,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6732146,ST ILLTYD PRIMARY SCHOOL,The Vale of Glamorgan / Bro Morgannwg,Central South Consortium/Consortiwm Canolbarth y De,Amber/Oren,,,
6732148,EVENLODE PRIMARY SCHOOL,The Vale of Glamorgan / Bro Morgannwg,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6732149,LLANDOUGH COUNTY PRIMARY,The Vale of Glamorgan / Bro Morgannwg,Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6732151,Y BONT FAEN PRIMARY SCHOOL,The Vale of Glamorgan / Bro Morgannwg,Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6732152,YSGOL PEN-Y-GARTH,The Vale of Glamorgan / Bro Morgannwg,Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6732156,Ysgol Gymraeg Sant Baruc,The Vale of Glamorgan / Bro Morgannwg,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6732163,OAK FIELD PRIMARY AND NURSERY SCHOOL,The Vale of Glamorgan / Bro Morgannwg,Central South Consortium/Consortiwm Canolbarth y De,Amber/Oren,,,
6732165,YSGOL IOLO MORGANWG,The Vale of Glamorgan / Bro Morgannwg,Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6732178,YSGOL GYMRAEG SANT CURIG,The Vale of Glamorgan / Bro Morgannwg,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6732179,YSGOL GYMRAEG GWAUN Y NANT,The Vale of Glamorgan / Bro Morgannwg,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6732181,CADOXTON PRIMARY SCHOOL,The Vale of Glamorgan / Bro Morgannwg,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6732182,ROMILLY PRIMARY SCHOOL,The Vale of Glamorgan / Bro Morgannwg,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6732184,Ysgol Gymraeg Dewi Sant,The Vale of Glamorgan / Bro Morgannwg,Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6732185,DINAS POWYS PRIMARY SCHOOL,The Vale of Glamorgan / Bro Morgannwg,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6732186,Ysgol Y Ddraig,The Vale of Glamorgan / Bro Morgannwg,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6733037,ST NICHOLAS C/W PRIMARY SCHOOL,The Vale of Glamorgan / Bro Morgannwg,Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6733047,PETERSTON-SUPER-ELY PRIMARY,The Vale of Glamorgan / Bro Morgannwg,Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6733057,GWENFO C/W PRIMARY SCHOOL,The Vale of Glamorgan / Bro Morgannwg,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6733320,St Brides C W Primary School,The Vale of Glamorgan / Bro Morgannwg,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6733321,Wick and Marcross C/W Primary,The Vale of Glamorgan / Bro Morgannwg,Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6733363,PENDOYLAN C/W PRIMARY SCHOOL,The Vale of Glamorgan / Bro Morgannwg,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6733364,ST ANDREW'S C/W PRIMARY SCHOOL,The Vale of Glamorgan / Bro Morgannwg,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6733365,LLANSANNOR C/W PRIMARY SCHOOL,The Vale of Glamorgan / Bro Morgannwg,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6733367,ST DAVID'S CHURCH-IN-WALES,The Vale of Glamorgan / Bro Morgannwg,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6733368,ST. JOSEPH'S RC PRIMARY SCHOOL,The Vale of Glamorgan / Bro Morgannwg,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6733372,ALL SAINTS CW PRIMARY SCHOOL,The Vale of Glamorgan / Bro Morgannwg,Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6733373,St Helen's Catholic Primary School,The Vale of Glamorgan / Bro Morgannwg,Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6735500,YSGOL GYMRAEG BRO MORGANNWG,The Vale of Glamorgan / Bro Morgannwg,Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6742044,PENDERYN PRIMARY,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6742045,OAKLANDS PRIMARY SCHOOL,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6742052,Alaw Primary School,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6742053,ABERNANT COUNTY PRIMARY,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Amber/Oren,,,
6742060,CILFYNYDD PRIMARY,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6742061,Brynnau Primary,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6742066,COEDPENMAEN COUNTY PRIMARY,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6742069,BODRINGALLT PRIMARY SCHOOL.,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6742070,BLAENGWAWR PRIMARY,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6742072,Coedylan Primary School,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6742077,Caegarw Primary School,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6742079,Cwmlai Primary,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6742083,DOLAU PRIMARY,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6742084,Capcoch Primary School,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6742093,Caradog Primary School,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6742102,Ffynnon Taf Primary School,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6742104,HAWTHORN PRIMARY SCHOOL,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6742112,DARRAN PARK PRIMARY,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6742118,LLANILLTUD FAERDREF PRIMARY,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6742119,GELLI PRIMARY SCHOOL,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6742124,Llantrisant Primary School,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6742127,Hafod Primary School,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6742130,MAES-Y-COED PRIMARY SCHOOL,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6742134,CWMDAR COUNTY PRIMARY SCHOOL,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6742137,PARCLEWIS PRIMARY SCHOOL,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6742142,Llanharan Primary School,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6742143,LLWYNYPIA PRIMARY SCHOOL,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6742144,DARRENLAS PRIMARY SCHOOL,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6742151,LLANHARI PRIMARY,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6742160,Pontyclun Primary,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6742161,PARC PRIMARY SCHOOL,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
6742167,Rhigos Primary School,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6742170,HIRWAUN PRIMARY SCHOOL,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Yellow/Melyn,,,
6742180,LLWYDCOED PRIMARY SCHOOL,"Rhondda, Cynon, Taff / Rhondda, Cynon, Taf",Central South Consortium/Consortiwm Canolbarth y De,Green/Gwyrdd,,,
