"","","","","2015-16 ","2016-17 ","2017-18 ","2018-19 ","2019-20 ","2020-21 "
"","","","5142119 - Ysgol Yr Hendre ",342.56,368.32,399.6,383.24,372.8,372.44
"","","","5142122 - Ysgol Gynradd Bontnewydd ",161.48,170.76,166.68,173.88,178,180.2
"","","","5142123 - Ysgol Y Garnedd ",314.84,320.24,334.04,319.52,315.64,329.526667
"","","","5142125 - Ysgol Cymerau ",315.4,319.8,323.32,324.8,311.84,309.08
"","","","5142126 - Ysgol Abercaseg ",97.76,106.84,122.96,126.64,112.64,105.88
"","","","5142127 - Ysgol Gynradd Y Felinheli ",145.92,156.32,168.44,175.12,171.88,176.68
"","","","5142179 - Y.G. Abergynolwyn ",".",".",".",".",".","."
"","","","5142180 - Ysgol Bro Tegid ",115,115,121,129,52.916667,"."
"","","","5142181 - Ysgol Y Traeth ",194.2,201.32,203.48,190.36,199.08,202.2
"","","","5142182 - Ysgol Y Clogau ",24.08,0,0,".",".","."
"","","","5142183 - Ysgol Gynradd Brithdir ",40.2,39.88,14.116667,".",".","."
"","","","5142184 - Ysgol Gynradd Bryncrug ",".",".",".",".",".","."
"","","","5142185 - Ysgol Gynradd Corris ",46.32,52.64,60.2,58.08,58.88,50.76
"","","","5142186 - Ysgol Gynradd Croesor ",".",".",".",".",".","."
"","","","5142187 - Ysgol Dinas Mawddwy ",21.32,26.2,11.333333,".",".","."
"","","","5142189 - Ysgol Dyffryn Ardudwy ",62,63,66,73,81,88.2
"","","","5142190 - Ysgol Bro Cynfal ",59.52,63.6,67.64,61.88,59.4,58.64
"","","","5142191 - Ysgol Gynradd Y Ganllwyd ",19.88,15.88,6.8,".",".","."
"","","","5142192 - Ysgol Edmwnd Prys ",27.84,31.64,33.76,32.2,33.44,30.88
"","","","5142194 - Ysgol Gynradd Llanbedr ",48,50,48,47,47,49.88
"","","","5142196 - Ysgol Gynradd Llanegryn ",".",".",".",".",".","."
"","","","5142197 - Ysgol Gynradd Llanelltyd ",38.44,48.52,21.1,".",".","."
