"","","","","2015-16 ","2016-17 ","2017-18 ","2018-19 ","2019-20 ","2020-21 "
"","","","5142190 - Ysgol Bro Cynfal ",286.949494,291.042188,292.89256,271.797823,265.581355,272.923301
"","","","5142191 - Ysgol Gynradd Y Ganllwyd ",172.159929,165.223046,68.962885,".",".","."
"","","","5142192 - Ysgol Edmwnd Prys ",191.689389,209.982576,220.147975,208.550801,204.509584,221.62683
"","","","5142194 - Ysgol Gynradd Llanbedr ",236.24874,247.242608,224.61279,196.044182,207.789163,227.820309
"","","","5142196 - Ysgol Gynradd Llanegryn ",".",".",".",".",".","."
"","","","5142197 - Ysgol Gynradd Llanelltyd ",175.145939,187.816357,82.836029,".",".","."
"","","","5142198 - Ysgol Y Garreg ",154.17943,166.701685,165.379521,165.501408,164.021156,178.345821
"","","","5142199 - Ysgol O.M. Edwards ",341.338871,334.613463,329.891994,349.205168,348.823088,379.549083
"","","","5142200 - Y.G. Llawrybetws ",".",".",".",".",".","."
"","","","5142201 - Y.G. Llwyngwril ",".",".",".",".",".","."
"","","","5142205 - Ysgol Y Manod ",320.985399,342.455563,382.650092,345.155171,348.084658,420.198526
"","","","5142206 - Ysgol Gynradd Y Parc ",".",".",".",".",".","."
"","","","5142207 - Ysgol Gynradd Pennal ",167.315798,160.237706,164.937713,196.354423,178.870944,196.663295
"","","","5142208 - Ysgol Cefn Coch ",606.972795,584.894354,575.298613,614.236463,604.448839,638.168095
"","","","5142210 - Ysgol Gynradd Talsarnau ",192.305001,182.189717,222.409307,190.723249,211.523741,213.146914
"","","","5142211 - Ysgol Gynradd Tanygrisiau ",266.907958,303.703065,331.08171,275.325907,269.316314,270.757846
"","","","5142212 - Ysgol Penybryn ",772.739549,774.565655,736.298469,786.336361,811.373985,901.44224
"","","","5142213 - Ysgol Bro Hedd Wyn ",290.535896,259.261995,247.863174,271.561051,268.379081,280.28925
"","","","5142214 - Ysgol Bro Tryweryn ",192.315187,164.761853,177.415807,187.50301,177.897244,172.078708
"","","","5142215 - Ysgol Ieuan Gwynedd ",168.978728,145.540623,77.220506,".",".","."
"","","","5142216 - Ysgol Y Friog ",184.753854,175.568545,75.699933,".",".","."
"","","","5142217 - Ysgol Gynradd Aberdyfi ",".",".",".",".",".","."
"","","","5142219 - Ysgol Tanycastell ",277.350372,278.963903,287.890562,297.852541,305.682687,329.417124
