"","","","","2015-16 ","2016-17 ","2017-18 ","2018-19 ","2019-20 ","2020-21 ","2021-22 "
"","","","5142220 - Ysgol Ffridd Y Llyn ",4206.745876,4185.321965,4062.169228,3789.792549,3847.011751,4292.065178,4608.59296
"","","","5142221 - Ysgol Maenofferen ",3816.673034,3541.698898,3496.324825,3446.430469,3553.56333,3943.429329,4156.438687
"","","","5142227 - Ysgol Gynradd Hirael ",3535.959367,3635.03147,3561.69732,3445.423138,3608.247575,3933.428617,4012.445988
"","","","5142228 - Ysgol Craig y Deryn ",3812.399705,3950.960318,4076.074038,4547.326254,4715.300364,5046.108986,5038.943577
"","","","5142229 - Bro Llifon ",3593.596406,3900.560405,3753.213795,3861.722348,3612.077987,3872.875743,4033.541747
"","","","5143004 - Ysgol Pont Y Gof ",3428.733869,3525.340994,3734.85966,3897.843271,3621.48218,4091.65448,4363.876487
"","","","5143005 - Ysgol Gynradd Maesincla ",4070.491689,3919.544242,4098.441749,4282.11487,4423.809005,4794.207281,4650.677464
"","","","5143009 - Ysgol Y Faenol ",2998.376213,3089.33922,3121.45699,3190.981261,3236.664209,3520.356878,3679.23505
"","","","5143010 - Ysgol Foel Gron ",4781.826795,4147.725708,4695.804878,4708.337254,4404.826861,4984.339054,4786.510586
"","","","5143013 - Ysgol Llandygai ",3525.131732,3816.270777,3782.019787,3721.434079,4047.319875,4308.918054,4557.686259
"","","","5143018 - Ysgol Gynradd Llandwrog ",4422.031631,4052.294924,4387.218027,4507.97318,4673.257534,5177.837753,6148.957846
"","","","5143023 - Ysgol Llanystumdwy ",4970.045032,6208.170548,6182.693957,9050.675048,9051.916887,10411.84891,10969.283269
"","","","5143029 - Ysgol Tregarth ",3493.06683,3731.126318,3609.817514,3633.513282,3721.334517,4125.489711,4173.076299
"","","","5143030 - Ysgol Gynradd Cae Top ",3837.321651,3761.96725,3521.362838,3508.528158,3617.029051,3844.255392,3999.745669
"","","","5143037 - Ysgol Machreth ",12115.761604,0,".",".",".",".","."
"","","","5143041 - Ysgol Gynradd Dolgellau ",3657.951188,3843.766114,3685.199686,".",".",".","."
"","","","5143300 - Ysgol Santes Helen ",3690.374264,3775.013102,3698.390532,3608.939814,3783.883269,4436.486717,4696.806812
"","","","5143301 - Ysgol Ein Harglwyddes ",3486.065917,3172.188769,3475.322471,3298.507211,3604.565821,3847.710092,4037.212891
"","","","5143305 - Ysgol Beuno Sant Y Bala ",5065.964887,5027.542101,4984.458053,4310.53506,4754.652651,".","."
"","","","5149991 - Unallocated resources - primary ",".",".",".",".",".",".","."
"","","Gwynedd - Middle ","",0,0,5188.996463,4968.651849,5003.174511,5071.226408,5420.568713
"","","Gwynedd - Middle ","5149996 - Unallocated resources - middle ",".",".",".",".",".",".","."
"","","","5145500 - Ysgol Bro Idris ",".",".",4901.912911,4729.253719,5062.277022,5121.125757,5371.945506
"","","","5145501 - Ysgol Godre'r Berwyn ",".",".",".",".",4660.2343,5011.25689,5075.075075
"","","Gwynedd - Secondary ","",4831.480445,4901.488428,5012.616316,4919.105073,4950.181614,5280.595701,5325.803278
"","","Gwynedd - Secondary ","5144002 - Ysgol Dyffryn Ogwen ",4999.801202,5227.529598,5135.201481,5096.885822,5150.521716,5496.815398,5651.749578
"","","","5144003 - Ysgol Botwnnog ",4831.725017,4898.140644,4891.921727,4815.556149,4852.75004,5158.836223,5274.256037
"","","","5144004 - Ysgol Brynrefail ",4374.241604,4623.7293,4837.751134,4638.370131,4638.776748,4975.788988,4989.406676
"","","","5144007 - Ysgol Dyffryn Nantlle ",4965.048256,5019.521519,5363.812689,4975.921043,5109.932162,5502.86279,5657.715989
"","","","5144009 - Ysgol Eifionydd ",4798.782273,4923.387827,5066.631641,5057.669768,5018.353111,5408.706022,5596.860741
"","","","5144030 - Ysgol Y Gader ",5583.021521,5729.436691,5829.711172,".",".",".","."
"","","","5144031 - Ysgol Y Moelwyn ",5318.631031,5538.076622,5652.821554,5961.246377,5557.363115,5966.349685,5989.861332
"","","","5144032 - Ysgol Uwchradd Tywyn ",5775.214668,5512.24897,5698.631235,5640.685478,5444.252209,5786.152085,5635.234913
"","","","5144033 - Ysgol Y Berwyn ",5128.333111,5377.298759,5278.224659,5268.204236,5259.456912,".","."
"","","","5144034 - Ysgol Ardudwy ",5451.065944,5496.960433,5707.461618,5569.63648,5251.620989,5629.671225,5913.41872
"","","","5144036 - Ysgol Friars ",4143.620337,4291.983212,4403.712788,4323.08683,4363.159137,4601.580382,4692.988571
"","","","5144037 - Ysgol Tryfan ",4474.963469,4824.900135,5036.601713,5137.575003,5408.29778,5686.721102,5717.287708
"","","","5144039 - Ysgol Syr Hugh Owen ",4602.966008,4665.053653,4774.707356,4737.139938,4795.04423,5160.073366,5180.961835
"","","","5144040 - Ysgol Glan Y Mor ",4627.838312,4740.666727,4940.647626,4871.451696,4857.298591,5292.311728,5526.081925
"","","","5149992 - Unallocated resources - secondary ",".",".",".",".",".",".","."
"","","Gwynedd - Special ","",18162.100829,17217.064403,17267.948799,17587.212989,19322.65896,19621.666098,20081.279936
"","","Gwynedd - Special ","5147000 - Ysgol Coedmenai ",".",".",".",".",".",".","."
"","","","5147002 - Ysgol Pendalar ",17071.09389,16653.421327,16689.034829,17118.369912,17923.301865,18946.143866,19417.58571
"","","","5147010 - Ysgol Hafod Lon ",17042.125584,17606.687634,17622.126435,17588.800534,18417.677857,19690.20666,20171.34415
"","","","5149993 - Unallocated resources - special ",".",".",".",".",".",".","."
"","Conwy ","","",4544.473445,4602.450802,4566.552666,4598.444666,4590.528651,4803.385501,5024.933879
"","Conwy ","Conwy - Nursery ","5169994 - Unallocated resources - nursery ",".",".",".",".",".",".","."
"","","Conwy - Primary ","",3962.50837,3951.965457,3891.113775,3915.841069,3866.141648,4026.85135,4187.609794
"","","Conwy - Primary ","5162002 - Ysgol Dolgarrog ",4839.638457,4846.72052,4448.688994,4503.077111,4638.683012,".","."
"","","","5162012 - Ysgol Betws-y-Coed ",8712.263382,7759.941246,6487.19857,7632.635864,7690.633951,8454.292929,8784.694298
"","","","5162023 - Ysgol Capelulo ",3691.310021,3719.487662,3754.232186,3743.516877,3535.527786,3781.079276,3903.454588
"","","","5162038 - Ysgol Deganwy ",3653.455915,3649.487913,3436.295143,3297.98254,3298.691023,3396.904657,3497.548973
"","","","5162043 - Ysgol Gynradd Dolwyddelan ",6798.733806,8989.882381,10423.84364,10751.808202,9580.429495,9500.875329,7517.826332
"","","","5162044 - Ysgol Ffordd Dyffryn ",5193.334523,5018.010341,4895.196908,5402.017229,5551.049265,5353.577688,5269.26742
"","","","5162053 - Ysgol Glanwydden ",3351.672489,3375.083729,3371.026615,3385.271754,3301.552582,3451.757149,3543.600267
"","","","5162055 - Ysgol Yr Wyddfid ",".",".",".",".",".",".","."
"","","","5162061 - Ysgol Tudno ",4394.561,4523.360778,4446.144444,4471.58747,4240.390041,4483.576806,4713.746132
"","","","5162063 - Ysgol Morfa Rhiannedd ",5269.804051,4968.808913,4188.845218,3788.422747,3797.802325,3915.900489,3928.470702
"","","","5162064 - Ysgol Maelgwn ",3650.204594,3537.136749,0,".",".",".","."
"","","","5162086 - Ysgol Penmachno ",5055.82686,5100.349175,4910.016855,4816.96247,4686.400343,5327.206125,5598.294388
"","","","5162100 - Conwy Road Infants School ",".",".",".",".",".",".","."
"","","","5162101 - Ysgol Babanod Glan y Mor ",4900.534637,".",".",".",".",".","."
"","","","5162102 - Ysgol Gynradd Ro Wen ",".",".",".",".",".",".","."
"","","","5162103 - Llandrillo Yn Rhos Primary School ",3272.293592,3257.606597,3280.351749,3218.137867,3183.170894,3352.268242,3456.44253
