"","","","","2015-16 ","2016-17 ","2017-18 ","2018-19 ","2019-20 "
"","","","5442084 - Libanus Primary School ",63,63,49.55533,72,95
"","","","5442086 - Pontllanfraith Primary School ",42,43,75.99423,70,62
"","","","5442089 - Deri Primary School ",46,37,60.42773,36,59
"","","","5442091 - Trinant Infant School ",".",".",".",".","."
"","","","5442093 - Crumlin High Level Primary School ",4,-1,20.66894,-12,-12
"","","","5442095 - Pentwynmawr Primary School ",-17,-12,-25.9472,2,-2
"","","","5442097 - Derwendeg Primary School ",33,58,8.19068,49,32
"","","","5442098 - Tynewydd Primary School ",49,12,58.67002,5,6
"","","","5442100 - Cwmcarn Primary School ",-1,16,13.47783,-1,-34
"","","","5442103 - Waunfawr Primary School ",-2,21,36.42321,46,41
"","","","5442105 - Risca Primary School ",76,30,68.22027,92,114
"","","","5442108 - Fochriw Primary School ",-37,-32,26.9172,10,-6
"","","","5442113 - Gelligaer Village Infants School ",".",".",".",".","."
"","","","5442121 - Gilfach Fargoed Primary School ",12,23,40.98527,79,60
"","","","5442128 - Glan-Y-Nant Infants School ",".",".",".",".","."
"","","","5442140 - Hendre Junior School ",25,2,22.97727,48,85
"","","","5442145 - Hendre Infants School ",53,40,3.7286,26,11
"","","","5442148 - Hengoed Primary School ",-19,-2,28.31465,4,3
"","","","5442158 - Llancaeach Junior School ",-5,4,3.88458,-10,22
"","","","5442171 - Llanfabon Infants School ",5,-14,4.14283,5,30
"","","","5442193 - Rhydri Primary School ",-35,-62,-29.52014,-31,-21
"","","","5442197 - Nant Y Parc Primary School ",19,4,-29.37329,-17,-1
"","","","5442204 - The Graig Junior School ",".",".",".",".","."
"","","","5442207 - Pantside Primary School ",50,55,84.42006,33,42
"","","","5442209 - St Gwladys Junior School ",".",".",".",".","."
"","","","5442213 - South Bargoed Infants School ",".",".",".",".","."
"","","","5442215 - Penllwyn Infants School ",".",".",".",".","."
"","","","5442217 - Blackwood Junior School ",".",".",".",".","."
"","","","5442219 - Tirphil Primary School ",".",".",".",".","."
"","","","5442220 - Trinant Junior School ",".",".",".",".","."
"","","","5442224 - Tiryberth Primary School ",10,-1,36.39656,75,68
"","","","5442227 - Ty Isaf Infants School ",41,65,69.94831,77,56
"","","","5442235 - Ty Sign Junior School ",".",".",".",".","."
"","","","5442236 - Twyn Junior School ",".",".",".",".","."
"","","","5442241 - Twyn Infants School ",".",".",".",".","."
"","","","5442245 - Ystrad Mynach Junior School ",".",".",".",".","."
"","","","5442249 - Ystrad Mynach Infants School ",".",".",".",".","."
"","","","5442252 - Cwm Ifor Primary School ",39,14,52.11151,26,21
"","","","5442256 - Bryn Primary School ",64,72,64.18872,45,33
"","","","5442257 - Cefn Fforest Infants ",".",".",".",".","."
"","","","5442262 - Ysgol Ifor Bach ",44,68,39.89565,91,83
"","","","5442264 - Abercarn Primary School ",-5,-30,-31.75908,-87,-60
"","","","5442265 - Lansbury Park Junior School ",".",".",".",".","."
"","","","5442267 - Lansbury Park Infant School ",".",".",".",".","."
"","","","5442271 - Plasyfelin Infant School ",".",".",".",".","."
"","","","5442274 - Plasyfelin Junior School ",".",".",".",".","."
"","","","5442278 - Greenhill Primary School ",17,49,51.89446,58,62
"","","","5442282 - Ysgol G.G. Caerffili ",48,77,111.76124,163,230
"","","","5442285 - Ysgol Gymraeg Gilfach Fargoed ",60,42,31.94941,32,-55
"","","","5442296 - Ynysddu Primary School ",5,33,14.28303,28,31
"","","","5442307 - Upper Rhymney Primary School ",-6,-59,-44.77039,-22,-26
"","","","5442309 - Ysgol Y Lawnt ",-13,-15,15.62907,59,75
"","","","5442310 - Bryn Awel Primary School ",23,-17,-58.80914,-65,-50
"","","","5442312 - Abertysswg Primary School ",36,41,0,".","."
"","","","5442313 - Ysgol Gymraeg Trelyn ",39,32,12.72464,31,61
"","","","5442314 - Elliot Town Primary School ",".",".",".",".","."
"","","","5442316 - Phillipstown Primary School ",38,-2,10.76259,70,88
"","","","5442318 - Cwmsyfiog Primary School ",".",".",".",".","."
"","","","5442320 - Aberbargoed Junior School ",".",".",".",".","."
"","","","5442321 - Aberbargoed Infant School ",".",".",".",".","."
"","","","5442322 - Maesycwmmer Primary School ",33,22,36.97853,62,39
"","","","5442323 - Bedwas Junior School ",52,39,48.90503,21,-4
"","","","5442324 - Tyn-Y-Wern Junior School ",".",".",".",".","."
"","","","5442325 - Tyn Y Wern Infant School ",".",".",".",".","."
"","","","5442326 - Machen Primary School ",9,17,36.13382,23,26
"","","","5442328 - Graig-y-Rhacca Primary & Nursery Community School ",37,70,82.85768,56,45
"","","","5442335 - Bedwas Infant School ",69,11,21.53019,21,7
"","","","5442338 - Hendredenny Park Primary School ",34,70,64.5851,24,74
"","","","5442339 - Cwm Glas Infant School ",-3,-9,-1.78087,1,-8
"","","","5442340 - Gelligaer Village Junior School ",".",".",".",".","."
"","","","5442341 - Pontlottyn Primary School ",-32,-15,0,".","."
"","","","5442347 - Cwmaber Infant School ",15,7,-60.11569,-45,8
"","","","5442368 - Ysgol Gymraeg Bro Allta ",31,53,6.89659,29,17
"","","","5442369 - Rhiw Syr Dafydd Junior School ",".",".",".",".","."
"","","","5442370 - Cwmfelinfach Primary School ",22,11,19.00147,32,30
"","","","5442371 - Penllwyn Junior School and Special Need Unit ",".",".",".",".","."
"","","","5442372 - Ty-Sign Infants School ",".",".",".",".","."
"","","","5442373 - Y.G. Cwm Gwyddon ",92,47,71.87492,47,32
"","","","5442374 - Ysgol Gynradd Gymraeg Y Castell ",82,89,51.15629,67,115
"","","","5442376 - Cwrt Rawlin Primary School ",53,38,0.78061,14,-14
"","","","5442377 - Cefn Fforest Primary School ",-18,17,-48.46968,-3,-15
"","","","5442378 - Penllwyn Primary School ",29,30,-0.91321,39,51
"","","","5442379 - Blackwood Primary School ",-14,-35,39.82584,86,185
"","","","5442380 - Glyn-Gaer CP School ",32,39,28.35855,23,50
"","","","5442381 - Park Primary School ",47,49,37.81219,81,128
"","","","5442382 - Aberbargoed Primary School ",41,22,-22.62626,-37,8
"","","","5442383 - Trinant Primary School ",67,58,53.71493,30,42
"","","","5442384 - Ty Sign Primary School ",73,51,84.07815,104,92
"","","","5442385 - Tyn-y-Wern Primary ",38,50,44.45511,29,73
"","","","5442386 - The Twyn School ",44,63,53.64766,51,25
"","","","5442387 - White Rose Primary School ",67,64,130.99969,143,134
"","","","5442388 - Ysgol Bro Sannan ",-45,13,37.42478,9,-16
"","","","5442389 - Plasyfelin Primary School ",39,-30,25.45292,53,40
"","","","5442390 - St James Primary School ",-6,-12,20.39848,25,32
"","","","5442391 - St Gwladys Bargoed School ",81,51,24.82614,64,54
"","","","5442392 - Rhiw Syr Dafydd Primary ",62,102,62.88035,-51,-76
"","","","5442393 - Ystrad Mynach Primary ",93,29,96.44731,59,26
"","","","5442394 - Ysgol Gymraeg Cwm Derwen ",41,32,66.13416,27,7
"","","","5442395 - Ysgol Penalltau ",48,36,22.28135,64,92
"","","","5443310 - St Helen's Catholic Primary School ",81,81,67.02873,62,60
"","","","5449995 - Lansbury Park Primary School ",".",".",".",".","."
"","","","5449996 - Plasyfelin Primary ",".",".",".",".","."
"","","","5449997 - Bargoed/St Gwladys Primary ",".",".",".",".","."
"","","","5449999 - White Rose Primary School ",".",".",".",".","."
"","","Caerphilly - Secondary ","",197,21,-688,-192,-1465
"","","Caerphilly - Secondary ","5444031 - Newbridge School ",-83,-13,124,56,16
"","","","5444032 - Pontllanfraith Comprehensive School ",-71,0,".",".","."
"","","","5444046 - Blackwood Comprehensive School ",14,9,-176,-155,-115
"","","","5444053 - Oakdale Comprehensive School ",-80,0,".",".","."
"","","","5444065 - St Cenydd School ",22,189,217,246,282
"","","","5444067 - St Ilan  School ",".",".",".",".","."
"","","","5444068 - Risca Community Comprehensive School ",35,-87,-46,-40,-155
"","","","5444070 - St Martin's Comprehensive School ",40,-176,-317,-326,-909
"","","","5444073 - Heolddu Comprehensive School ",180,145,-12,-97,-145
"","","","5444075 - Lewis School Pengam ",41,19,243,209,41
"","","","5444077 - Lewis Girls' Comprehensive School ",48,164,209,93,29
"","","","5444090 - Rhymney Comprehensive School ",317,92,0,".","."
"","","","5444093 - Bedwas High School ",-56,-147,-131,-189,-235
"","","","5444102 - Bedwellty Comprehensive School ",".",".",".",".","."
"","","","5444103 - Ysgol Gyfun Cwm Rhymni ",139,26,84,-107,-197
"","","","5444104 - Islwyn High School ",".",157,149,118,-77
"","","","5445400 - Cwmcarn High School ",-349,-357,-1032,0,"."
"","","Caerphilly - Middle ","5445500 - Establish - 3-18 EM middle school on Rhymney Comp site ",".",".",208,76,-65
"","","Caerphilly - Special ","5447011 - Trinity Fields School & Resource Centre ",387,395,276,189,179
"","Blaenau Gwent ","","",1170,583,280.2,1054.514,1324.715
"","Blaenau Gwent ","Blaenau Gwent - Nursery ","5451010 - Blaenavon Hillside Nursery School ",".",".",".",".","."
"","","Blaenau Gwent - Primary ","",942,534,857.4,1285.451,1532.12
"","","Blaenau Gwent - Primary ","5452067 - Bryn Bach Primary School ",48,42,56.2,47.011,4.546
"","","","5452070 - Glanhowy Primary School ",100,86,91.2,105.778,95.782
"","","","5452071 - Sirhowy Infant School ",".",".",".",".","."
"","","","5452072 - Deighton Junior and Infants ",-23,-24,43.5,15.646,66.843
"","","","5452074 - Georgetown C.P. School ",92,87,88.8,84.395,119.985
"","","","5452165 - Abertillery Primary School ",71,-4,".",".","."
"","","","5452167 - Arael Primary School ",".",".",".",".","."
"","","","5452169 - Blaenau Gwent Infants School ",".",".",".",".","."
"","","","5452170 - Blaentillery Primary School ",".",".",".",".","."
"","","","5452171 - Cwmtillery Junior School ",".",".",".",".","."
"","","","5452173 - Queen Street Primary School ",-47,-61,".",".","."
"","","","5452179 - Sofrydd C.P. School ",40,24,31.8,80.706,93.733
"","","","5452181 - Rassau Primary School ",".",".",".",".","."
"","","","5452182 - Glyncoed Junior School ",".",".",".",".","."
"","","","5452183 - Glyncoed Infant School ",".",".",".",".","."
"","","","5452185 - Willowtown Infants ",".",".",".",".","."
"","","","5452186 - Briery Hill Primary School ",".",".",".",".","."
"","","","5452189 - Waunlwyd Primary School ",".",".",".",".","."
"","","","5452193 - Garn Fach Infant School ",".",".",".",".","."
"","","","5452194 - Cwmcelyn Infants School ",".",".",".",".","."
"","","","5452195 - Blaina Junior School ",".",".",".",".","."
"","","","5452196 - Blaina Infant School ",".",".",".",".","."
"","","","5452213 - Garnlydan Primary School ",".",".",".",".","."
"","","","5452214 - Pontygof Primary School ",".",".",".",".","."
"","","","5452226 - Pontygarreg Primary School ",".",".",".",".","."
"","","","5452250 - Coed Cae Junior School ",".",".",".",".","."
"","","","5452253 - Cwm Primary School ",89,48,57.6,50.16,68.518
"","","","5452267 - Bryngwyn Primary ",7,9,".",".","."
"","","","5452277 - Beaufort Hill Primary School ",105,117,133.7,113.088,96.148
"","","","5452278 - Willowtown Primary School ",-35,-58,-59.8,-31.68,-107.387
"","","","5452278.1 - Willowtown Junior ",".",".",".",".","."
"","","","5452286 - Brynhyfryd Primary School ",".",".",".",".","."
"","","","5452287 - Ty'r Graig Primary School ",".",".",".",".","."
"","","","5452306 - Blaen-y-Cwm Primary School ",108,98,72.2,125.543,186.634
"","","","5452307 - Ysgol Bro Helyg ",-8,-29,-17.5,23.601,8.067
"","","","5452308 - Roseheyworth Millennium School ",49,38,".",".","."
"","","","5452309 - Glyncoed Primary School ",14,20,38.3,23.414,95.272
"","","","5452310 - Rhos-y-Fedwyn Primary ",35,24,45.8,85.545,116.272
"","","","5452311 - Ystruth Primary ",77,55,139.3,200.358,206.595
"","","","5452312 - St Illtyd's Primary School ",63,57,45.2,31.905,77.601
"","","","5452313 - Coed-y-Garn Primary School ",11,-63,-44.4,-6.289,96.712
"","","","5453308 - St Mary's Roman Catholic - Brynmawr ",2,-46,-10.9,36.896,46.44
"","","","5453309 - St Mary's C in W Voluntary Aided School ",55,38,67.9,94.476,35.848
"","","","5453315 - All Saints R.C. Primary School ",59,62,51.7,141.046,131.727
"","","","5453316 - St Joseph's R.C. Primary School ",30,14,26.8,63.852,92.784
"","","","5453999 - Ystruth Primary School ",".",".",".",".","."
"","","","5459999 - Llanhilleth Primary School ",".",".",".",".","."
"","","Blaenau Gwent - Secondary ","",73,-44,189.1,285.003,336
"","","Blaenau Gwent - Secondary ","5454045 - Glyncoed  Comprehensive School ",".",".",".",".","."
"","","","5454055 - Glanyrafon Comprehensive (part year only) ",".",".",".",".","."
"","","","5454061 - Tredegar Comprehensive School ",240,290,283.4,302.718,294
"","","","5454067 - Ebbw Vale Comprehensive School ",".",".",".",".","."
"","","","5454073 - Nantyglo Comprehensive School ",".",".",".",".","."
"","","","5454074 - Abertillery Comprehensive School ",-200,-369,".",".","."
"","","","5455401 - Brynmawr Foundation School ",33,35,-94.3,-17.715,42
"","","","5459998 - Ebbw Fawr Learning Community ",".",".",".",".","."
"","","Blaenau Gwent - Middle ","",51,128,-847.4,-761.638,-829.421
"","","Blaenau Gwent - Middle ","5455500 - Ebbw Fawr Learning Community ",51,-10,-356.9,-235.504,-203.979
"","","","5455501 - Abertillery Learning Community ",".",138,-490.5,-526.134,-625.442
"","","Blaenau Gwent - Special ","",104,-35,81.1,245.698,286.016
"","","Blaenau Gwent - Special ","5457011 - Pen-y-cwm Special School ",104,-35,21.9,111.566,214.295
"","","","5457012 - River Centre 3-16 Learning Community ",".",".",59.2,134.132,71.721
"","Torfaen ","","",2211,2140,2042,2897,1667.75223
"","Torfaen ","Torfaen - Nursery ","",39,10,13,0,"."
"","","Torfaen - Nursery ","5461010 - Blaenavon Hillside Nursery School ",".",".",".",".","."
"","","","5461011 - Brynteg Nursery School ",39,10,13,0,"."
"","","","5461013 - Two Locks Nursery School ",".",".",".",".","."
"","","Torfaen - Primary ","",1269,1302,1558,2097,1464.91417
"","","Torfaen - Primary ","5462109 - Hillside Primary School ",".",".",".",".","."
"","","","5462115 - Victoria Primary School ",80,35,30,0,"."
"","","","5462117 - Pentwyn Primary School ",".",".",".",".","."
"","","","5462119 - Pontnewynydd Primary ",0,".",".",".","."
"","","","5462126 - Park Terrace Junior and Infants ",".",".",".",".","."
"","","","5462127 - Penygarn Infant School ",".",".",".",".","."
"","","","5462128 - Greenlawn Junior School ",".",".",".",".","."
"","","","5462130 - Pontymoile Primary School ",".",".",".",".","."
"","","","5462133 - Griffithstown Infant School ",".",".",".",".","."
"","","","5462197 - Croesyceiliog North Rd Infants ",".",".",".",".","."
"","","","5462199 - Kemys Fawr Infants School ",".",".",".",".","."
"","","","5462200 - Croesyceiliog Junior School ",".",".",".",".","."
"","","","5462203 - Llanyrafon Primary School ",58,71,82,107,44.69938
"","","","5462204 - Maendy Primary School ",35,48,70,66,62.59559
"","","","5462205 - Llantarnam Community Primary School ",39,9,39,52,70.55313
"","","","5462211 - Pontnewydd Primary School ",66,57,60,45,72.86326
"","","","5462221 - Brookfield Primary School ",".",".",".",".","."
"","","","5462222 - Fairwater Junior School ",".",".",".",".","."
"","","","5462223 - Fairwater Infant School ",".",".",".",".","."
"","","","5462225 - Penygarn Junior School ",".",".",".",".","."
"","","","5462239 - Coed Eva Infant School ",".",".",".",".","."
"","","","5462240 - Coed Eva Junior Mixed School ",".",".",".",".","."
"","","","5462249 - Greenmeadow Primary School ",53,86,82,77,45.73725
"","","","5462265 - Upper Cwmbran Infants School ",".",".",".",".","."
"","","","5462271 - Hollybush Primary School ",".",".",".",".","."
"","","","5462279 - New Inn Infants School ",".",".",".",".","."
"","","","5462283 - Griffithstown Junior School ",".",".",".",".","."
"","","","5462291 - Woodlands Junior School ",".",".",".",".","."
"","","","5462292 - Woodlands Infants School ",".",".",".",".","."
"","","","5462298 - Cwmffrwdoer Primary School ",14,12,58,94,11.83884
"","","","5462308 - George Street Primary School ",113,89,124,209,161.95719
"","","","5462312 - Ysgol Gymraeg Cwmbrân ",61,127,84,145,84
"","","","5462315 - Garnteg Primary School ",92,48,37,72,23.1382
"","","","5462318 - Ysgol Bryn Onnen ",-26,6,-7,36,39.31082
"","","","5462319 - Woodlands Community Primary School ",57,78,103,66,41.10381
"","","","5462320 - New Inn Primary School ",77,49,103,120,145.2158
"","","","5462321 - Griffithstown Primary School ",26,-2,36,98,74.5699
"","","","5462322 - Penygarn Primary School ",39,77,122,158,70.99826
"","","","5462323 - Blenheim Road Community Primary School ",13,-6,-9,-1,45.02149
"","","","5462324 - Coed Eva Primary School ",68,70,56,118,74.16555
"","","","5462325 - Croesyceiliog Primary School ",8,31,49,32,37.64621
"","","","5462326 - Nant Celyn Primary School ",158,159,140,117,44.58788
"","","","5462327 - Ysgol Panteg ",50,5,30,84,32.00068
"","","","5463002 - Ponthir C.V. Primary School ",".",".",".",".","."
"","","","5463027 - St Peter's C.V. Junior & Infants ",".",".",".",".","."
"","","","5463028 - Blaenavon Heritage Voluntary Controlled Primary School ",36,64,1,98,86.81292
"","","","5463319 - St Alban's R.C. Primary School ",".",".",".",".","."
"","","","5463321 - Our Lady of the Angels R.C School ",75,66,66,69,42.29284
"","","","5463322 - St Francis R.C. Primary School ",".",".",".",".","."
"","","","5463324 - St David's R.C. Primary School ",-9,30,42,72,37.05423
"","","","5463330 - Henllys C.I.W. Primary School ",18,13,32,49,52.15633
"","","","5463331 - Padre Pio RC Primary ",31,29,70,63,35.91098
"","","","5463332 - Ponthir Church in Wales School ",37,51,58,51,28.68363
"","","Torfaen - Secondary ","",808,739,382,686,55.83806
"","","Torfaen - Secondary ","5464050 - Llantarnam School ",0,".",".",".","."
"","","","5464051 - Croesyceiliog School ",-135,-82,32,161,23.73123
"","","","5464062 - Fairwater High School ",0,".",".",".","."
"","","","5464070 - Abersychan Comprehensive School ",177,66,-36,163,-39.70078
"","","","5464071 - Trevethin Community School ",".",".",".",".","."
"","","","5464072 - West Monmouth School ",108,33,-38,-184,-302.85104
"","","","5464075 - Ysgol Gyfun Gwynllyw ",168,202,-41,4,10.40023
"","","","5464076 - Cwmbran High School ",495,448,379,314,164.03071
"","","","5464603 - St Alban's R.C. High School ",-5,72,86,228,200.22771
"","","Torfaen - Middle ","",".",".",".",".","."
"","","Torfaen - Special ","5467012 - Crownbridge School ",95,89,89,114,147
"","Monmouthshire ","","",1109.958,202.446,118.272,-252.056,-412.194
"","Monmouthshire ","Monmouthshire - Nursery ","5481001 - Kimberley Nursery School ",".",".",".",".","."
"","","Monmouthshire - Primary ","",1316.879,632.123,680.447,241.914,347.238
"","","Monmouthshire - Primary ","5482052 - Clydach C.P. School ",".",".",".",".","."
"","","","5482054 - Darenfelin Junior & Infants School ",".",".",".",".","."
"","","","5482057 - Gilwern C.P. School ",41.298,39.636,52.253,55.251,64.549
"","","","5482134 - Goytre Fawr Primary School ",53.92,25.371,10.803,2.737,34.894
"","","","5482139 - Park Street Infants School ",".",".",".",".","."
"","","","5482140 - Llanfoist C.P. School ",".",".",".",".","."
"","","","5482143 - Llanover Junior & Infants School ",".",".",".",".","."
"","","","5482148 - Osbaston Infants School ",".",".",".",".","."
"","","","5482156 - Wyesham Infants School ",".",".",".",".","."
"","","","5482161 - Sudbrook C.P. School ",".",".",".",".","."
"","","","5482163 - Undy C.P. School ",16.641,-50.037,-28.221,-129.534,-145.925
"","","","5482164 - Rogiet C.P. School ",59.613,34.184,26.145,20.015,-4.404
"","","","5482198 - Caldicot Green Lane Junior School ",".",".",".",".","."
"","","","5482208 - Llwynu Infants School ",".",".",".",".","."
"","","","5482228 - Pembroke Primary School ",36.201,8.826,0.181,-13.239,1.205
"","","","5482229 - Caldicot Sandy Lane Infants School ",".",".",".",".","."
"","","","5482230 - St Mary's Junior & Special Needs Unit ",".",".",".",".","."
"","","","5482238 - Caldicot West End Infants School ",".",".",".",".","."
"","","","5482242 - Govilon C.P. School ",".",".",".",".","."
"","","","5482243 - Llanfihangel Crucorney C.P. School ",-23.605,-3.117,0.511,34.341,49.685
"","","","5482246 - Thornwell Primary School ",2.253,-20.534,-9.566,-53.722,-47.15
"","","","5482255 - St Davids Junior School ",".",".",".",".","."
"","","","5482261 - Durand Primary School ",60.52,53.931,71.664,29.087,12.69
"","","","5482263 - Llandogo C.P. School ",-11.446,-9.736,-12.449,-83.516,-176.535
"","","","5482269 - Wyesham Junior School ",".",".",".",".","."
"","","","5482270 - Harold Road Junior School & Special Needs Unit ",".",".",".",".","."
"","","","5482285 - Croesonen Infants School ",".",".",".",".","."
"","","","5482299 - Shirenewton Primary School ",81.56,87.369,118.6,132.093,128.89
"","","","5482301 - Trellech C.P. School ",86.281,85.762,87.65,71.983,50.948
"","","","5482303 - The Dell Primary School ",50.266,46.094,22.165,16.389,3.032
"","","","5482304 - Overmonnow C.P. School ",-19.101,3.959,28.389,-18.473,-33.929
"","","","5482305 - Cross Ash C.P. School ",51.269,45.62,59.356,54.15,64.158
"","","","5482317 - Ysgol Gymraeg Y Fenni ",58.741,48.966,58.965,51.306,-4.408
"","","","5482318 - Ysgol Gymraeg Y Ffin ",13.168,-67.41,-37.617,-32.979,-45.883
"","","","5482319 - Cantref Primary School ",41.987,52.766,65.965,88.391,105.193
"","","","5482320 - Deri View Primary School ",86.054,27.297,40,80,73.957
"","","","5482321 - Kymin View Primary ",18.774,10.294,34.657,5.607,37.955
"","","","5482322 - Castle Park Primary School ",-21.446,-46.115,-43.659,-23.772,2.153
"","","","5482323 - Llanfoist Fawr Primary School ",93.789,68.056,49.579,14.342,24.871
"","","","5482324 - Dewstow Primary School ",112.598,90.125,105.626,108.642,136.455
"","","","5483004 - Llantilio Pertholey CIW Primary School ",37.176,20.966,4.439,-9.643,-21.016
"","","","5483005 - Llanfair Kilgeddin C.V. Primary ",".",".",".",".","."
"","","","5483014 - Portskewett V.C. Infants School ",".",".",".",".","."
"","","","5483020 - Llanellen C.V. Junior & Infants ",".",".",".",".","."
"","","","5483022 - Usk CIW Primary School ",71.295,56.108,62.92,9.911,45.942
"","","","5483030 - Osbaston C.V.Junior School ",".",".",".",".","."
"","","","5483031 - Raglan V.C. Primary School ",18.369,-111.977,-147.743,-108.451,-33.112
"","","","5483032 - Osbaston CIW Primary School ",37.344,18.57,0.635,0.006,-11.25
"","","","5483310 - Magor V.A. Primary School ",56.008,35.179,-19.226,-54.651,-18.785
"","","","5483317 - Our Lady & St Michael's School ",30.654,45.505,-7.085,-14.17,15.86
"","","","5483326 - St Mary's R.C. Primary School ",25.385,-13.192,6.055,-63.593,-46.518
"","","","5483327 - Archbishop Rowen Williams CIW School ",84.489,49.657,79.455,73.406,83.716
"","","","5483328 - Llanfair Kilgeddin CIW V.A. Primary School ",66.824,0,".",".","."
"","","Monmouthshire - Secondary ","",-52.066,-287.26,-528.591,-635.475,-931.492
"","","Monmouthshire - Secondary ","5484060 - Monmouth Comprehensive School ",45.772,-100.573,-423.95,-538.326,-179.692
"","","","5484064 - King Henry VIII Comprehensive School ",107.368,-139.355,-162.46,-82.797,-225.7
"","","","5484065 - Chepstow Comprehensive School ",-414.066,-81.068,158.456,50.661,-63.57
"","","","5484066 - Caldicot School ",208.86,33.736,-100.637,-65.013,-462.53
"","","Monmouthshire - Middle ","",".",".",".",".","."
"","","Monmouthshire - Special ","5487006 - Mounton House Special School ",-154.855,-142.417,-33.584,141.505,172.06
"","Newport ","","",5482.08368,4831.30657,3857.441351,3130.464431,1113.15737
"","Newport ","Newport - Nursery ","",49.31533,17.00275,1.40532,2.870889,-36.456231
"","","Newport - Nursery ","5501001 - Kimberley Nursery School ",10.32277,-9.842,-15.121551,-6.521642,-66.243852
"","","","5501002 - Rockfield Nursery School ",".",".",".",".","."
"","","","5501005 - Fairoak Nursery School ",38.99256,26.84475,16.526871,9.392531,29.787621
"","","","5501018 - Don Close Nursery ",".",".",".",".","."
"","","Newport - Primary ","",3339.59264,3153.01832,3000.418232,3667.584213,3331.794665
"","","Newport - Primary ","5502003 - Clytha Primary School ",58.75626,39.52738,30.213342,13.563585,16.709054
"","","","5502004 - Crindau Primary School ",181.3557,139.46568,169.287594,169.708756,147.658866
"","","","5502006 - Durham Road Junior School ",".",".",".",".","."
"","","","5502008 - Durham Road Infant School ",".",".",".",".","."
"","","","5502009 - Eveswell Primary School ",211.79658,237.71376,254.929985,239.227735,237.938722
"","","","5502013 - Gaer Junior School ",".",".",".",".","."
"","","","5502014 - Gaer Infant School ",".",".",".",".","."
"","","","5502016 - Lliswerry Infant School ",".",".",".",".","."
"","","","5502017 - Maesglas C.P. School ",64.06623,45.40457,27.080777,3.662225,-18.82218
"","","","5502019 - Maindee C.P. School ",53.28204,29.21472,35.100786,66.444381,66.773804
"","","","5502022 - Malpas Court Primary School ",68.76344,56.03807,74.067997,110.509709,46.822795
"","","","5502025 - St Andrew's Junior School ",".",".",".",".","."
"","","","5502026 - St Andrew's Infant School ",".",".",".",".","."
"","","","5502027 - St Woolos Primary School ",0.08807,-6.40813,6.800268,16.05089,-47.162518
"","","","5502030 - Somerton Primary School ",53.45335,54.36178,45.520053,83.358173,144.338427
"","","","5502032 - Brynglas Primary School ",".",".",".",".","."
"","","","5502034 - St Julians Junior School ",".",".",".",".","."
"","","","5502035 - St Julians Infant School ",".",".",".",".","."
"","","","5502036 - Alway  Junior School ",".",".",".",".","."
"","","","5502037 - Alway Infant School ",".",".",".",".","."
"","","","5502038 - Ringland Infant School ",".",".",".",".","."
"","","","5502039 - Glasllwch C.P. School ",58.0493,73.24608,68.102964,62.350655,73.000958
"","","","5502040 - Milton Infants School ",89.28788,47.74586,0,".","."
"","","","5502041 - Milton Junior School ",23.44862,4.32997,0,".","."
"","","","5502042 - Ringland Junior School ",".",".",".",".","."
"","","","5502043 - Malpas Park Primary School ",86.89694,59.28036,55.803744,19.331923,41.13103
"","","","5502044 - Millbrook Junior School ",".",".",".",".","."
"","","","5502045 - Monnow Infant School ",".",".",".",".","."
"","","","5502047 - Millbrook Infant School ",".",".",".",".","."
"","","","5502048 - Monnow Junior School ",".",".",".",".","."
"","","","5502049 - Lliswerry Junior School ",".",".",".",".","."
"","","","5502209 - Langstone Primary School ",77.15522,73.7488,88.509705,107.041255,104.57697
"","","","5502224 - Llanmartin Primary School ",52.64957,43.52977,44.323987,39.477144,21.641171
"","","","5502236 - Marshfield Primary School ",45.67095,63.07555,77.780135,89.474836,65.929158
"","","","5502247 - Caerleon (Lodge Hill) Junior School ",".",".",".",".","."
"","","","5502258 - Mount Pleasant Primary ",50.39971,46.33143,22.135879,2.262699,34.116945
"","","","5502274 - Caerleon (Lodge Hill) Infants School ",".",".",".",".","."
"","","","5502276 - Rogerstone Primary School ",71.14426,73.10067,41.201272,91.152893,-32.928715
"","","","5502288 - Duffryn Junior School ",31.70817,80.49121,0,".","."
"","","","5502293 - Duffryn Infant School ",62.3841,89.28139,0,".","."
"","","","5502295 - High Cross Primary ",56.51016,70.52429,31.45558,-19.885773,-42.25726
"","","","5502300 - Pentrepoeth C.P. School ",64.29048,73.77665,49.758944,52.692516,51.84739
"","","","5502302 - Pillgwenlly C.P. School ",138.85017,61.34964,151.88386,143.263105,121.113693
"","","","5502314 - Ysgol Gymraeg Casnewydd ",115.58197,101.11878,93.606677,128.331365,148.724585
"","","","5502315 - Alway Primary ",134.33803,135.57489,49.365245,75.420302,60.116225
"","","","5502316 - Ringland Primary ",87.90294,22.60362,22.225027,73.200311,49.11147
"","","","5502317 - Millbrook Primary School ",90.9063,67.54724,95.197832,121.722307,82.740816
"","","","5502318 - Monnow Primary School ",98.11207,141.29264,145.752583,233.067184,161.651919
"","","","5502319 - Glan Usk Primary School ",106.67286,92.87138,47.264862,12.431697,36.470454
"","","","5502320 - Ysgol Gymraeg Ifor Hael ",104.24187,98.86044,130.49184,137.855169,99.384701
"","","","5502321 - Lliswerry Primary School ",68.64104,52.32614,48.883467,106.365949,117.547592
