"","","","","2015-16 ","2016-17 ","2017-18 ","2018-19 ","2019-20 "
"","","Gwynedd - Middle ","5145500 - Ysgol Bro Idris ",".",".",425.371694,484.78943,434.472907
"","","","5145501 - Ysgol Godre'r Berwyn ",".",".",".",".",-35.578906
"","","Gwynedd - Special ","",65.313692,43.230009,-43.633172,60.859713,36.34334
"","","Gwynedd - Special ","5147000 - Ysgol Coedmenai ",".",".",".",".","."
"","","","5147002 - Ysgol Pendalar ",-54.19146,-88.919157,-124.811287,-12.461161,7.149448
"","","","5147010 - Ysgol Hafod Lon ",119.505152,132.149166,81.178115,73.320874,29.193892
"","Conwy ","","",4011.806948,3248.559904,3364.213614,2495.408112,1802.233205
"","Conwy ","Conwy - Nursery ","",".",".",".",".","."
"","","Conwy - Primary ","",2359.102538,2047.605279,2362.382501,2163.559897,2284.194278
"","","Conwy - Primary ","5162002 - Ysgol Dolgarrog ",16.717049,29.552419,27.610384,23.250459,0
"","","","5162012 - Ysgol Betws-y-Coed ",34.982365,24.043632,10.845098,2.836754,3.721185
"","","","5162023 - Ysgol Capelulo ",28.80544,28.270977,43.538697,27.183548,15.873764
"","","","5162038 - Ysgol Deganwy ",77.326595,79.69396,108.010997,106.533354,33.032562
"","","","5162043 - Ysgol Gynradd Dolwyddelan ",20.823798,22.02086,17.414596,2.64346,3.197386
"","","","5162044 - Ysgol Ffordd Dyffryn ",28.313405,26.493627,56.629402,92.992047,66.898937
"","","","5162053 - Ysgol Glanwydden ",86.887747,53.898687,88.582948,59.371075,43.299481
"","","","5162055 - Ysgol Yr Wyddfid ",".",".",".",".","."
"","","","5162061 - Ysgol Tudno ",54.43814,75.025066,68.812117,72.263539,47.401481
"","","","5162063 - Ysgol Morfa Rhianedd ",22.756888,30.579139,66.316187,76.497379,83.975694
"","","","5162064 - Ysgol Maelgwn ",127.438808,0,0,".","."
"","","","5162086 - Ysgol Penmachno ",21.68446,6.380932,13.447741,11.709963,15.027746
"","","","5162100 - Conwy Road Infants School ",".",".",".",".","."
"","","","5162101 - Ysgol Babanod Glan y Mor ",0,".",".",".","."
"","","","5162102 - Ysgol Gynradd Ro Wen ",".",".",".",".","."
"","","","5162103 - Ysgol Llandrillo yn Rhos ",31.421371,75.611601,160.639535,153.101547,179.043246
"","","","5162104 - Ysgol Talhaiarn ",0.152892,-1.469853,14.610797,24.325226,20.445001
"","","","5162106 - Ysgol Babanod Mochdre ",9.329539,17.126705,27.502201,25.270789,68.765643
"","","","5162107 - Ysgol Tal-y-Bont ",16.91698,7.098024,4.619999,-0.302754,0
"","","","5162108 - Ysgol T. Gwynn Jones ",58.290958,53.059645,78.633448,67.432335,45.710524
"","","","5162109 - Ysgol Trefriw ",5.531568,11.700991,0,".","."
"","","","5162110 - Ysgol Maes Owen ",57.993006,64.004886,95.485345,57.100939,57.809531
"","","","5162111 - Ysgol Glan Gele ",68.197094,108.049977,107.577092,71.581018,97.151278
"","","","5162112 - Ysgol Glan Morfa ",47.856342,55.825884,44.453919,59.889001,77.056709
"","","","5162114 - Ysgol Bod Alaw ",66.875895,41.122083,41.647937,32.654253,5.252195
"","","","5162115 - Ysgol Pant-Y-Rhedyn ",80.622775,71.093097,73.951211,62.278536,69.315595
"","","","5162117 - Ysgol Nant Y Coed ",10.461429,0,0,".","."
"","","","5162118 - Ysgol Y Foryd ",41.44353,40.300079,90.441853,131.304795,173.005845
"","","","5162119 - Ysgol Dinmael ",".",".",".",".","."
"","","","5162121 - Ysgol Craig Y Don ",48.493791,34.581559,56.484831,44.317441,29.989468
